readingGUID,unitGUID,mUnitGUID,sensorGUID,analogID,readingValue,recharge,cyclePulses,readingStart,readingStop,dp,sensorGUID,sensorName,unitGUID,unitID,unitName,common_name,mUnitGUID,mUnitName,requestGUID,alarmGUID,readingGUID,outputGUID,lastUpdate,outputGUID,unitGUID,modeGUID,statusGUID,outputID,outputName,highState,lowState,statusGUID,statusID,statusName,modeGUID,modeID,modeName,requestGUID,unitGUID,modeGUID,success,requestMessage,requestNow,requestName,tz,updateCycle,alarmGUID,unitGUID,typeGUID,statusGUID,mUnitGUID,alarmID,alarmName,healthyName,faultyName,pulseTotal,typeGUID,typeID,typeName
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1EABA1C3-E9A6-45BE-803F-BF59C3E53058,2022-01-17 11:44:55.000,1EABA1C3-E9A6-45BE-803F-BF59C3E53058,AD1C5729-257E-4120-B593-D78C7B1AF4B7,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,33B0580F-8334-4764-8E5B-B53B03A7CB7D,3,"Meadow soilnoid ",On,Off,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,NULL,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BD758550-99D7-4A83-87D8-5AD98D7D89F0,2022-01-17 11:44:55.000,BD758550-99D7-4A83-87D8-5AD98D7D89F0,AD1C5729-257E-4120-B593-D78C7B1AF4B7,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,33B0580F-8334-4764-8E5B-B53B03A7CB7D,2,Planters soilnoid,On,Off,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,NULL,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,969EB78B-E2EC-4A89-A259-67ED03A6D657,2022-01-17 11:44:55.000,969EB78B-E2EC-4A89-A259-67ED03A6D657,AD1C5729-257E-4120-B593-D78C7B1AF4B7,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,33B0580F-8334-4764-8E5B-B53B03A7CB7D,1,"Wonderwall soilnoid ",On,Off,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,NULL,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64A3BEC2-B535-4B7E-8074-6A59519AB0B3,6FF33116-2BA9-4217-9B38-777F1A03B95D,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,61743A91-4C9A-42AA-86DE-649AA30CB680,2,76.7,120,0.3,5,15,1,61743A91-4C9A-42AA-86DE-649AA30CB680,Moisture Sensor 1,6FF33116-2BA9-4217-9B38-777F1A03B95D,526,Control Panel 2 PH1,Control Panel 2 PH1,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,%,NULL,NULL,64A3BEC2-B535-4B7E-8074-6A59519AB0B3,NULL,2022-01-17 11:44:51.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
B0F35D8B-FF5C-45A1-BC19-E1E3E3E75669,6FF33116-2BA9-4217-9B38-777F1A03B95D,AE66ACEE-EC04-4F20-9B13-DC664316A1BC,FC273DCD-9517-4023-B0E0-340AFDAB54FC,0,273,1000,0,90,50,0,FC273DCD-9517-4023-B0E0-340AFDAB54FC,Level 1,6FF33116-2BA9-4217-9B38-777F1A03B95D,526,Control Panel 2 PH1,Control Panel 2 PH1,AE66ACEE-EC04-4F20-9B13-DC664316A1BC,mm,NULL,NULL,B0F35D8B-FF5C-45A1-BC19-E1E3E3E75669,NULL,2022-01-17 11:44:51.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73D4DCBC-7F67-46BC-BFD1-7E9FD69AE595,2022-01-17 11:44:51.000,73D4DCBC-7F67-46BC-BFD1-7E9FD69AE595,6FF33116-2BA9-4217-9B38-777F1A03B95D,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,33B0580F-8334-4764-8E5B-B53B03A7CB7D,2,Solenoid Valve 1 (OP2),On,Off,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,NULL,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CBAC5BC3-D045-49EC-BDD3-1FD9E1F56814,NULL,NULL,NULL,2022-01-17 11:44:51.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CBAC5BC3-D045-49EC-BDD3-1FD9E1F56814,6FF33116-2BA9-4217-9B38-777F1A03B95D,57BFE031-3592-4483-ADCD-6549356182E8,1,Reading Good,2022-01-17 11:45:03.000,Control Panel 2 PH1,Europe/London,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5BE883C1-302D-4A38-BFB7-8650C85163DC,6FF33116-2BA9-4217-9B38-777F1A03B95D,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,1506A486-DFBD-4EA4-B6CF-DCADDF944915,3,124.4,120,0.3,5,15,1,1506A486-DFBD-4EA4-B6CF-DCADDF944915,Moisture Sensor 2,6FF33116-2BA9-4217-9B38-777F1A03B95D,526,Control Panel 2 PH1,Control Panel 2 PH1,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,%,NULL,NULL,5BE883C1-302D-4A38-BFB7-8650C85163DC,NULL,2022-01-17 11:44:51.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DD546FF9-E860-4D85-9083-34007878B3B4,1F2955DE-BF3C-4BB5-869F-68225A757754,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,43852C83-8D82-4A47-B69A-6F4279E10B64,1,128,240,0.15,50,60,0,43852C83-8D82-4A47-B69A-6F4279E10B64,"Ignition-mix ",1F2955DE-BF3C-4BB5-869F-68225A757754,531,8C:EF:8C:0D:2F:8F,Roof top irrigation 2,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,%,NULL,NULL,DD546FF9-E860-4D85-9083-34007878B3B4,NULL,2022-01-17 11:44:48.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25827865-F98D-4EBB-82BE-EB8B5F19F5D7,1F2955DE-BF3C-4BB5-869F-68225A757754,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,789C4CEB-3BB0-4489-95A2-09752919FC36,2,128,240,0.15,50,60,0,789C4CEB-3BB0-4489-95A2-09752919FC36,Sedum,1F2955DE-BF3C-4BB5-869F-68225A757754,531,8C:EF:8C:0D:2F:8F,Roof top irrigation 2,C19BEB92-BD1D-49D9-8B25-02DA1CCF3819,%,NULL,NULL,25827865-F98D-4EBB-82BE-EB8B5F19F5D7,NULL,2022-01-17 11:44:48.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D7711B73-36B4-4ECE-A149-7A89BA5B01BE,2022-01-17 11:44:48.000,D7711B73-36B4-4ECE-A149-7A89BA5B01BE,1F2955DE-BF3C-4BB5-869F-68225A757754,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,"Tree soilnoid ",On,Off,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,NULL,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4D9F7982-454F-4F53-98EA-4304522E344E,2022-01-17 11:44:48.000,4D9F7982-454F-4F53-98EA-4304522E344E,1F2955DE-BF3C-4BB5-869F-68225A757754,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,33B0580F-8334-4764-8E5B-B53B03A7CB7D,1,Ignition-mix,On,Off,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,NULL,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80DFEFF4-D9E7-4C13-9E6A-823048F02149,2022-01-17 11:44:48.000,80DFEFF4-D9E7-4C13-9E6A-823048F02149,1F2955DE-BF3C-4BB5-869F-68225A757754,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,33B0580F-8334-4764-8E5B-B53B03A7CB7D,2,"Sedum ",On,Off,33B0580F-8334-4764-8E5B-B53B03A7CB7D,0,NULL,D86D2C55-BD43-419E-A7E5-F4A74D372EAD,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
